projection_x_coordinate,projection_y_coordinate,hw_threshold
90000,1158000,100
102000,1158000,100
114000,1158000,100
126000,1158000,100
138000,1158000,100
150000,1158000,100
162000,1158000,100
174000,1158000,100
186000,1158000,100
198000,1158000,100
210000,1158000,100
222000,1158000,100
234000,1158000,100
246000,1158000,100
258000,1158000,100
270000,1158000,100
282000,1158000,100
294000,1158000,100
306000,1158000,25
318000,1158000,25
330000,1158000,25
342000,1158000,25
354000,1158000,25
366000,1158000,25
378000,1158000,25
390000,1158000,25
402000,1158000,25
414000,1158000,25
426000,1158000,25
438000,1158000,25
450000,1158000,25
462000,1158000,25
474000,1158000,25
486000,1158000,25
498000,1158000,25
510000,1158000,25
522000,1158000,25
534000,1158000,25
546000,1158000,25
558000,1158000,25
570000,1158000,25
582000,1158000,100
594000,1158000,100
606000,1158000,100
618000,1158000,100
630000,1158000,100
642000,1158000,100
654000,1158000,100
666000,1158000,100
678000,1158000,100
690000,1158000,100
702000,1158000,100
714000,1158000,100
726000,1158000,100
738000,1158000,100
750000,1158000,100
762000,1158000,100
-210000,1146000,100
-198000,1146000,100
-186000,1146000,100
-174000,1146000,100
-162000,1146000,100
-150000,1146000,100
-138000,1146000,100
-126000,1146000,100
-114000,1146000,100
-102000,1146000,100
-90000,1146000,100
-78000,1146000,100
-66000,1146000,100
-54000,1146000,100
-42000,1146000,100
-30000,1146000,100
-18000,1146000,100
-6000,1146000,100
6000,1146000,100
18000,1146000,100
30000,1146000,100
42000,1146000,100
54000,1146000,100
66000,1146000,100
78000,1146000,100
90000,1146000,100
102000,1146000,100
114000,1146000,100
126000,1146000,100
138000,1146000,100
150000,1146000,100
162000,1146000,100
174000,1146000,100
186000,1146000,100
198000,1146000,100
210000,1146000,100
222000,1146000,100
234000,1146000,100
246000,1146000,100
258000,1146000,100
270000,1146000,100
282000,1146000,100
294000,1146000,100
306000,1146000,25
318000,1146000,25
330000,1146000,25
342000,1146000,25
354000,1146000,25
366000,1146000,25
378000,1146000,25
390000,1146000,25
402000,1146000,25
414000,1146000,25
426000,1146000,25
438000,1146000,25
450000,1146000,25
462000,1146000,25
474000,1146000,25
486000,1146000,25
498000,1146000,25
510000,1146000,25
522000,1146000,25
534000,1146000,25
546000,1146000,25
558000,1146000,25
570000,1146000,25
582000,1146000,100
594000,1146000,100
606000,1146000,100
618000,1146000,100
630000,1146000,100
642000,1146000,100
654000,1146000,100
666000,1146000,100
678000,1146000,100
690000,1146000,100
702000,1146000,100
714000,1146000,100
726000,1146000,100
738000,1146000,100
750000,1146000,100
762000,1146000,100
-210000,1134000,100
-198000,1134000,100
-186000,1134000,100
-174000,1134000,100
-162000,1134000,100
-150000,1134000,100
-138000,1134000,100
-126000,1134000,100
-114000,1134000,100
-102000,1134000,100
-90000,1134000,100
-78000,1134000,100
-66000,1134000,100
-54000,1134000,100
-42000,1134000,100
-30000,1134000,100
-18000,1134000,100
-6000,1134000,100
6000,1134000,100
18000,1134000,100
30000,1134000,100
42000,1134000,100
54000,1134000,100
66000,1134000,100
78000,1134000,100
90000,1134000,100
102000,1134000,100
114000,1134000,100
126000,1134000,100
138000,1134000,100
150000,1134000,100
162000,1134000,100
174000,1134000,100
186000,1134000,100
198000,1134000,100
210000,1134000,100
222000,1134000,100
234000,1134000,100
246000,1134000,100
258000,1134000,100
270000,1134000,100
282000,1134000,25
294000,1134000,25
306000,1134000,25
318000,1134000,25
330000,1134000,25
342000,1134000,25
354000,1134000,25
366000,1134000,25
378000,1134000,25
390000,1134000,25
402000,1134000,25
414000,1134000,25
426000,1134000,25
438000,1134000,25
450000,1134000,25
462000,1134000,25
474000,1134000,25
486000,1134000,25
498000,1134000,25
510000,1134000,25
522000,1134000,25
534000,1134000,25
546000,1134000,25
558000,1134000,25
570000,1134000,100
582000,1134000,100
594000,1134000,100
606000,1134000,100
618000,1134000,100
630000,1134000,100
642000,1134000,100
654000,1134000,100
666000,1134000,100
678000,1134000,100
690000,1134000,100
702000,1134000,100
714000,1134000,100
726000,1134000,100
738000,1134000,100
750000,1134000,100
762000,1134000,100
-210000,1122000,100
-198000,1122000,100
-186000,1122000,100
-174000,1122000,100
-162000,1122000,100
-150000,1122000,100
-138000,1122000,100
-126000,1122000,100
-114000,1122000,100
-102000,1122000,100
-90000,1122000,100
-78000,1122000,100
-66000,1122000,100
-54000,1122000,100
-42000,1122000,100
-30000,1122000,100
-18000,1122000,100
-6000,1122000,100
6000,1122000,100
18000,1122000,100
30000,1122000,100
42000,1122000,100
54000,1122000,100
66000,1122000,100
78000,1122000,100
90000,1122000,100
102000,1122000,100
114000,1122000,100
126000,1122000,100
138000,1122000,100
150000,1122000,100
162000,1122000,100
174000,1122000,100
186000,1122000,100
198000,1122000,100
210000,1122000,100
222000,1122000,100
234000,1122000,100
246000,1122000,100
258000,1122000,25
270000,1122000,25
282000,1122000,25
294000,1122000,25
306000,1122000,25
318000,1122000,25
330000,1122000,25
342000,1122000,25
354000,1122000,25
366000,1122000,25
378000,1122000,25
390000,1122000,25
402000,1122000,25
414000,1122000,25
426000,1122000,25
438000,1122000,25
450000,1122000,25
462000,1122000,25
474000,1122000,25
486000,1122000,25
498000,1122000,25
510000,1122000,25
522000,1122000,25
534000,1122000,25
546000,1122000,25
558000,1122000,25
570000,1122000,100
582000,1122000,100
594000,1122000,100
606000,1122000,100
618000,1122000,100
630000,1122000,100
642000,1122000,100
654000,1122000,100
666000,1122000,100
678000,1122000,100
690000,1122000,100
702000,1122000,100
714000,1122000,100
726000,1122000,100
738000,1122000,100
750000,1122000,100
762000,1122000,100
-210000,1110000,100
-198000,1110000,100
-186000,1110000,100
-174000,1110000,100
-162000,1110000,100
-150000,1110000,100
-138000,1110000,100
-126000,1110000,100
-114000,1110000,100
-102000,1110000,100
-90000,1110000,100
-78000,1110000,100
-66000,1110000,100
-54000,1110000,100
-42000,1110000,100
-30000,1110000,100
-18000,1110000,100
-6000,1110000,100
6000,1110000,100
18000,1110000,100
30000,1110000,100
42000,1110000,100
54000,1110000,100
66000,1110000,100
78000,1110000,100
90000,1110000,100
102000,1110000,100
114000,1110000,100
126000,1110000,100
138000,1110000,100
150000,1110000,100
162000,1110000,100
174000,1110000,100
186000,1110000,100
