objectid,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,_mean,_min
"101",E09000009,Ealing,,"517057","181960",-0.314070000000000,51.524428999999998,54712230.155123926699162,39308.276640390133252,2.835326587624553,2.733502864837646
"102",E09000010,Enfield,,"532829","196197",-0.081470000000000,51.648879999999998,83022176.266671702265739,37692.719312697714486,2.765518429036538,2.592053413391113
"103",E09000011,Greenwich,,"542508","175878",0.050107000000000,51.463928000000003,47629632.107438258826733,36587.999801602469233,2.416172320134736,2.343808889389038
"104",E09000012,Hackney,,"534560","185787",-0.060450000000000,51.554920000000003,19833986.284961815923452,21347.168188235074922,3.056552171707153,3.056552171707153
"105",E09000013,Hammersmith and Fulham,,"523867","177993",-0.217350000000000,51.487330999999998,17587229.635642260313034,20818.221943080679921,2.904933189431008,2.877522706985474
"106",E09000014,Haringey,,"531262","189349",-0.106670000000000,51.587710999999999,28655635.107380606234074,25651.955030792396428,3.051501129488421,2.968087196350098
"107",E09000015,Harrow,,"515356","189736",-0.336030000000000,51.594669000000003,51786258.011743217706680,31190.571133488785563,2.719598783172769,2.249417781829834
"108",E09000016,Havering,,"555032","187514",0.235368000000000,51.565189000000004,113836320.122514083981514,56527.172423170602997,2.595394618381557,2.182987928390503
"109",E09000017,Hillingdon,,"508166","183120",-0.441820000000000,51.536628999999998,115520674.208014607429504,55989.039759976956702,2.736046623549889,2.072873353958130
"110",E09000018,Hounslow,,"512742","174965",-0.378470000000000,51.462429000000000,55053197.953929670155048,46819.578888597359764,2.801202266192496,2.778721094131470
"111",E09000019,Islington,,"531158","184647",-0.109920000000000,51.545479000000000,15152148.948867535218596,17531.107075805859495,3.056552171707153,3.056552171707153
"112",E09000020,Kensington and Chelsea,,"525757","179053",-0.189760000000000,51.496441000000004,11701510.100527919828892,17908.013875909960916,2.897825855742297,2.711831092834473
"113",E09000021,Kingston upon Thames,,"519508","167389",-0.283670000000000,51.392959999999995,38007491.615171253681183,33047.695378637072281,2.647038445690868,2.492023944854736
"114",E09000022,Lambeth,,"531118","175629",-0.113850000000000,51.464450999999997,26699841.430258341133595,28992.797309166562627,2.713742250499794,2.711831092834473
"115",E09000023,Lewisham,,"537889","173344",-0.017330000000000,51.442310000000006,34283465.774548389017582,30696.084993907315948,2.675799170407428,2.343808889389038
"116",E09000024,Merton,,"526069","169507",-0.188670000000000,51.410567999999998,37361486.431403875350952,27902.779652863038791,2.760833127670447,2.228640317916870
"117",E09000025,Newham,,"540715","183344",0.027289000000000,51.531470999999996,36598559.545148231089115,25147.566566105924721,2.933756949690187,2.343808889389038
"118",E09000026,Redbridge,,"543511","189478",0.070071000000000,51.585892000000001,56904414.959888547658920,35940.741660093539394,2.855779066630804,2.493957996368408
"119",E09000027,Richmond upon Thames,,"519005","172650",-0.289140000000000,51.440350000000002,59203313.304786249995232,45618.587524840200786,2.840524133785393,2.453818798065186
"120",E09000028,Southwark,,"533947","175866",-0.073060000000000,51.465919000000000,30251139.138202790170908,28468.133521135427145,2.734203490899086,2.711831092834473
"121",E09000029,Sutton,,"527356","163640",-0.172270000000000,51.357559000000002,44475059.911926418542862,32956.411025819776114,2.394937670920306,2.228640317916870
"122",E09000030,Tower Hamlets,,"536343","181452",-0.036430000000000,51.515541000000006,19546971.669064134359360,21634.957564485208422,3.020315789335981,2.711831092834473
"123",E09000031,Waltham Forest,,"537327","190277",-0.018810000000000,51.594608000000001,39257107.801250934600830,28340.636734313011402,2.970276562215920,2.493957996368408
"124",E09000032,Wandsworth,,"525151","174138",-0.200230000000000,51.452399999999997,34625993.097132474184036,33953.268991286975506,2.836566331141259,2.711831092834473
"125",E09000033,Westminster,,"528268","180870",-0.152950000000000,51.512198999999995,22938487.070232443511486,22668.168970060341962,2.935210160289092,2.711831092834473
"126",E10000002,Buckinghamshire,,"482506","208561",-0.805690000000000,51.769660999999999,1574680639.709331750869751,301220.696815996547230,1.714847433567047,1.468692421913147
"127",E10000003,Cambridgeshire,,"520312","273864",-0.235060000000000,52.349659000000003,3055805826.239475250244141,366012.364067263028119,1.748270158966382,1.492848992347717
"128",E10000006,Cumbria,,"341868","527180",-2.902130000000000,54.636378999999998,6828753017.975194931030273,552617.827160005108453,0.176953901415286,-2.185314178466797
"129",E10000007,Derbyshire,,"426752","353556",-1.602100000000000,53.078578999999998,2549660380.796284675598145,372264.864454266091343,0.449969073136648,-0.879653990268707
"130",E10000008,Devon,,"283143","93085",-3.656980000000000,50.725577999999999,6585794126.788349151611328,621810.572200306225568,2.453554871347215,1.344801068305969
"131",E10000011,East Sussex,,"564123","117996",0.334559000000000,50.938048999999999,1724411101.431824922561646,220009.914277966163354,2.475151568651199,1.933014988899231
"132",E10000012,Essex,,"575270","215407",0.541060000000000,51.809818000000000,3461786415.786840438842773,589800.008011161931790,2.067414782264016,1.490612506866455
